Age,EstimatedSalary,Purchased
56,141108,1
46,29382,1
32,99291,1
25,116195,1
38,149828,1
56,35609,0
36,162550,1
40,185738,1
28,90683,0
28,139714,1
41,145330,1
53,86315,1
57,92834,1
41,141205,1
20,29153,0
39,91325,1
19,159071,1
41,70318,1
47,146886,1
55,130033,1
19,91077,1
38,105474,1
50,148515,1
29,88319,0
39,140885,1
42,124777,1
44,32368,1
59,161400,1
45,106751,1
33,42306,0
32,185987,1
20,52219,1
54,75279,1
24,68028,1
38,119263,1
26,15126,1
56,67329,1
35,42632,0
21,124945,1
42,70176,1
31,190399,1
26,149869,1
43,193954,1
19,159790,1
37,49560,0
45,91589,1
24,37116,0
25,182316,1
52,147717,1
31,193595,1
34,139085,1
53,132718,1
57,34256,0
21,115158,1
19,199245,1
23,183502,1
59,185354,1
21,134719,1
46,83244,0
35,157766,1
43,71264,0
51,72545,1
27,54224,0
53,112945,1
31,28224,1
48,55738,0
32,171222,1
25,78731,1
31,195760,1
40,154649,1
57,23070,0
38,141161,1
33,23666,1
35,72761,1
41,51368,0
43,152855,1
42,56914,1
58,142738,1
46,82526,0
32,191837,1
18,34956,0
42,61240,0
24,136008,1
26,183220,1
41,109270,1
18,19757,0
25,34097,0
41,156467,1
28,162313,1
34,118892,1
25,173768,1
52,85480,1
52,61163,0
50,34816,0
22,195912,1
59,67853,1
56,170989,1
58,111731,1
45,167638,0
24,77823,0
26,166878,1
25,16759,0
29,188021,1
51,107374,1
50,148554,1
40,39442,1
41,179791,1
54,108501,1
52,17079,1
57,148789,1
39,74676,1
44,174024,1
52,188532,1
18,105397,0
52,87847,1
54,108607,1
31,164521,1
20,179608,1
18,79077,0
22,53258,0
43,194374,1
31,174937,1
56,152717,1
44,134771,1
26,53000,1
32,41737,0
32,26485,0
43,53565,0
59,171594,1
30,134614,1
49,80155,0
56,67487,1
49,144948,1
21,27342,0
47,55806,1
54,63770,1
40,93623,1
56,118177,0
32,146026,1
46,90629,1
53,135993,1
30,198675,1
49,141944,1
24,120947,1
39,41399,1
45,143177,1
19,124575,1
59,125904,1
23,45678,1
45,91218,1
45,78230,1
37,89055,1
47,177552,0
28,87258,0
45,54986,1
42,170232,1
56,100595,1
50,116358,1
18,79929,0
44,88506,0
30,49911,0
58,102127,1
20,177893,1
56,128453,1
23,99458,1
25,27175,0
44,134235,1
26,69771,0
54,142157,1
50,136300,0
59,101925,1
41,81358,1
32,163399,1
49,62057,1
49,21150,0
41,19425,0
58,31032,1
29,17198,0
56,199466,0
19,166151,1
20,182292,1
54,187946,1
34,159931,1
19,196532,1
19,177491,1
45,133865,1
40,154777,1
54,188952,1
49,38236,1
50,102955,1
18,118145,1
36,161430,1
19,109914,1
43,117870,1
49,131243,1
23,29596,1
49,179644,1
21,147351,0
28,126496,1
34,145273,1
55,153155,1
41,135674,1
22,135307,1
51,163843,1
23,176047,1
39,191720,1
28,194357,1
33,34063,0
50,82642,1
26,105093,1
23,183671,1
33,197992,1
46,174601,1
20,50954,0
37,42856,1
53,17573,0
36,50367,0
43,114608,1
20,75774,0
36,38752,0
37,70029,1
49,163757,1
24,145282,1
58,66693,1
50,131739,1
57,70961,1
56,141678,1
35,89532,1
57,96994,1
18,71133,1
28,76268,0
45,184315,1
42,46653,1
40,172729,1
48,186024,1
47,168252,1
59,136829,1
52,143377,1
24,16622,0
33,63756,0
43,55809,0
19,31725,1
18,66226,1
29,96182,0
22,44402,0
54,19263,0
49,192900,1
26,62924,0
58,89182,1
52,157736,1
36,50737,0
33,116332,1
20,104563,1
37,175445,1
41,182469,1
50,143575,1
41,116371,1
28,53709,0
25,165322,1
53,36172,0
55,26555,0
57,68276,1
37,72492,0
52,199074,1
42,104599,1
52,170834,1
42,26046,0
46,131021,1
35,174841,0
35,199374,1
19,169222,0
52,19853,0
33,135900,1
58,167864,1
53,74129,1
50,129130,1
21,178059,1
50,161922,1
31,158184,1
38,136789,1
37,170130,1
25,191492,1
24,53890,0
20,81017,0
34,193376,1
50,178993,1
29,147596,0
39,115424,0
39,30048,1
47,181183,1
55,183976,1
55,69912,1
25,49008,0
44,146132,1
44,98559,1
51,70337,0
38,125616,1
47,28350,0
50,39354,1
45,60186,0
50,43145,1
22,180092,1
36,101123,1
21,35581,0
52,103929,1
34,38051,0
45,66474,1
47,106748,1
46,140995,1
23,84626,0
52,21960,1
58,181844,1
54,167592,1
41,195553,1
46,51408,1
48,109006,1
52,72134,1
50,166563,1
38,147413,1
49,190695,1
40,105327,1
50,146410,1
20,158326,1
35,197932,1
42,26344,0
59,147822,1
48,82957,1
20,120423,1
57,73053,1
41,161968,0
49,92454,1
39,105600,0
40,137732,1
19,174007,1
44,52641,0
59,44711,1
19,85342,0
43,121896,1
34,158254,1
57,102833,1
50,71276,1
26,34541,1
56,109457,1
46,59813,1
59,183270,1
43,154892,1
52,39070,1
42,157194,1
41,95559,0
30,56786,0
24,152809,1
53,51062,1
37,66571,1
18,40510,0
25,34426,0
33,52265,0
31,163922,1
29,81150,1
40,102312,0
32,104613,1
45,89910,1
51,67375,1
19,136826,0
49,50435,1
40,111443,1
39,149055,1
42,166734,1
39,38510,1
39,187070,1
59,109071,1
23,21640,0
32,59547,0
54,69620,0
50,161389,1
25,130608,0
22,22564,0
56,173417,1
21,128824,1
23,94273,1
49,89859,0
